border,wait_time,datetime_from,datetime_to
roszke-horgos,10.0 min,13.05.2024 17:47,13.05.2024 20:47
roszke-horgos,10.0 min,13.05.2024 18:47,13.05.2024 21:48
roszke-horgos,10.0 min,13.05.2024 18:47,13.05.2024 21:48
roszke-horgos,10.0 min,13.05.2024 18:47,13.05.2024 21:48
horgos-roszke,60.0 min,14.05.2024 05:17,14.05.2024 08:17
horgos-roszke,60.0 min,14.05.2024 05:17,14.05.2024 08:17
horgos-roszke,30.0 min,14.05.2024 05:47,14.05.2024 08:47
horgos-roszke,20.0 min,15.05.2024 05:47,15.05.2024 08:47
horgos-roszke,80.0 min,16.05.2024 05:47,16.05.2024 08:47
horgos-roszke,100.0 min,17.05.2024 05:47,17.05.2024 08:47
